x,y,r,phi,vx,s
0.561812519480156,0.02770275661499111,14.730492141946895,-0.05937878038446152,0.0,0.0
0.5717913360855766,0.027112911028956754,14.941660102763569,-0.05870496731977908,0.0,2.5729429321257656e-05
0.5817705464509009,0.02652974149818966,15.158991814793117,-0.05804074529145023,0.0,5.145885864251531e-05
0.591750145085216,0.025953152307533815,15.382759316923734,-0.05738611489563571,0.0,7.718828796377296e-05
0.6017301264976089,0.025383047741833198,15.613250962177613,-0.056741076678035254,0.0,0.00010291771728503062
0.6117104851971676,0.024819332085931806,15.850772658265734,-0.05610563113569172,0.0,0.00012864714660628827
0.621691215692979,0.024261909624673634,16.095649223092284,-0.05547977871876932,0.0,0.00015437657592754593
0.6316723124941306,0.023710684642902675,16.348225867829726,-0.054863519832305876,0.0,0.0001801060052488036
0.6416537701097095,0.023165561425462916,16.608869821795015,-0.05425685483793921,0.0,0.00020583543457006125
0.6516355830488031,0.022626444257198345,16.877972115200617,-0.05365978405560721,0.0,0.0002315648638913189
0.6616177458204987,0.022093237422952952,17.15594953797079,-0.053072307765222086,0.0,0.00025729429321257654
0.6716002529338837,0.021565845207570735,17.443246795248722,-0.052494426208318345,0.0,0.0002830237225338342
0.681583098898045,0.021044171895895677,17.74033888302911,-0.05192613958967454,0.0,0.00030875315185509186
0.6915662782220705,0.020528121772771777,18.047733710596265,-0.05136744807890876,0.0,0.00033448258117634955
0.7015497854150472,0.020017599123043014,18.365975000209026,-0.050818351812047996,0.0,0.0003602120104976072
0.7115336149860623,0.019512508231553385,18.695645498842012,-0.05027885089307106,0.0,0.00038594143981886486
0.7215177614442037,0.01901275338314689,19.037370541878246,-0.04974894539542517,0.0,0.0004116708691401225
0.7315022192985577,0.0185182388626675,19.391822014586026,-0.04922863536351617,0.0,0.00043740029846138013
0.7414869830582124,0.01802886895495922,19.759722764163428,-0.048717920814172457,0.0,0.0004631297277826378
0.7514720472322551,0.017544547944866044,20.14185152329312,-0.048216801738082266,0.0,0.0004888591571038954
0.7614574063297727,0.017065180117231946,20.539048415755936,-0.04772527810120472,0.0,0.0005145885864251531
0.7714430548598525,0.01659066975690093,20.95222112599618,-0.04724334984615426,0.0,0.0005403180157464108
0.7814289873315823,0.01612092114871698,21.38235182796849,-0.04677101689355861,0.0,0.0005660474450676685
0.7914151982540489,0.015655838577524096,21.830504984567657,-0.046308279143390335,0.0,0.0005917768743889261
0.8014016821363398,0.01519532632816626,22.297836147987127,-0.04585513647627174,0.0,0.0006175063037101837
0.8113884334875424,0.014739288685487462,22.785601914142656,-0.04541158875475334,0.0,0.0006432357330314414
0.8213754468167442,0.014287629934331697,23.295171211673267,-0.04497763582456567,0.0,0.0006689651623526991
0.831362716633032,0.013840254359542952,23.828038139035613,-0.0445532775158447,0.0,0.0006946945916739567
0.8413502374454932,0.013397066245965225,24.385836603162485,-0.04413851364433052,0.0,0.0007204240209952144
0.8513380037632153,0.012957969878442506,24.970357061720737,-0.04373334401253952,0.0,0.000746153450316472
0.8613260100952856,0.01252286954181877,25.583565730295344,-0.043337768410910076,0.0,0.0007718828796377297
0.8713142509507917,0.012091669520938026,26.227626688539615,-0.04295178661892149,0.0,0.0007976123089589874
0.8813027208388203,0.011664274100644254,26.904927408933403,-0.04257539840618651,0.0,0.000823341738280245
0.8912914142684589,0.011240587565781453,27.618108342751132,-0.042208603533517124,0.0,0.0008490711676015026
0.901280325748795,0.01082051420119361,28.370097335975423,-0.04185140175396388,0.0,0.0008748005969227603
0.9112694497889158,0.010403958291724712,29.16414982079546,-0.04150379281382855,0.0,0.000900530026244018
0.9212587808979087,0.00999082412221875,30.003895946011472,-0.04116577645365026,0.0,0.0009262594555652756
0.9312483135848609,0.00958101597751972,30.893396085390293,-0.040837352409164994,0.0,0.0009519888848865333
0.9412380423588598,0.009174438142471613,31.837206514505876,-0.04051852041223853,0.0,0.000977718314207791
0.9512279617289923,0.00877099490191841,32.84045749771119,-0.04020928019177285,0.0,0.0010034477435290486
0.9612180662043462,0.008370590540704114,33.90894661002105,-0.039909631474585885,0.0,0.0010291771728503062
0.971208350294009,0.00797312934367271,35.04925087820801,-0.039619573986264776,0.0,0.001054906602171564
0.9811988085070671,0.007578515595668184,36.26886232267586,-0.03933910745199259,0.0,0.0010806360314928216
0.9911894353526086,0.007186653581534537,37.57635280233394,-0.039068231597348305,0.0,0.0011063654608140792
1.0011802253397206,0.006797447586115747,38.981575829638636,-0.03880694614908054,0.0,0.001132094890135337
1.0111711729774906,0.006410801894255821,40.49591540470646,-0.03855525083585448,0.0,0.0011578243194565944
1.0211622727750054,0.0060266207907987345,42.13259516511744,-0.038313145388972375,0.0,0.0011835537487778522
1.0311535192413528,0.005644808560588483,43.90706562629114,-0.038080629543067575,0.0,0.00120928317809911
1.0411449068856198,0.005265269488469064,45.837493536953495,-0.03785770303677182,0.0,0.0012350126074203674
1.0511364302168935,0.004887907859284457,47.94538620952857,-0.03764436561335639,0.0,0.0012607420367416252
1.0611280837442618,0.004512627957878662,50.256396352205314,-0.0374406170213463,0.0,0.0012864714660628827
1.0711198619768119,0.004139334069095665,52.801371367681476,-0.03724645701510839,0.0,0.0013122008953841404
1.081111759423631,0.003767930477779455,55.61773837070563,-0.03706188535541269,0.0,0.0013379303247053982
1.091103770593806,0.0033983214687740267,58.75135729690594,-0.03688690180996737,0.0,0.0013636597540266557
1.1010958899964247,0.003030411326923368,62.25903768610242,-0.03672150615392725,0.0,0.0013893891833479134
1.1110881121405747,0.00266410433707147,66.21201404714154,-0.03656569817037578,0.0,0.0014151186126691712
